anion,anion_sml,Asphericity_anion,Eccentricity_anion,InertialShapeFactor_anion,NPR1_anion,NPR2_anion,PMI1_anion,PMI2_anion,PMI3_anion,RadiusOfGyration_anion,SpherocityIndex_anion,ExactMolWt_anion,FpDensityMorgan1_anion,FpDensityMorgan2_anion,HeavyAtomMolWt_anion,MaxAbsPartialCharge_anion,MaxPartialCharge_anion,MinPartialCharge_anion,NumRadicalElectrons_anion,NumValenceElectrons_anion,volume_anion,cation,cation_sml,Asphericity_cation,Eccentricity_cation,InertialShapeFactor_cation,NPR1_cation,NPR2_cation,PMI1_cation,PMI2_cation,PMI3_cation,RadiusOfGyration_cation,SpherocityIndex_cation,ExactMolWt_cation,FpDensityMorgan1_cation,FpDensityMorgan2_cation,HeavyAtomMolWt_cation,MaxAbsPartialCharge_cation,MaxPartialCharge_cation,MinPartialCharge_cation,NumRadicalElectrons_cation,NumValenceElectrons_cation,volume_cation,pair,pair_sml_x,Asphericity_pair,Eccentricity_pair,InertialShapeFactor_pair,NPR1_pair,NPR2_pair,PMI1_pair,PMI2_pair,PMI3_pair,RadiusOfGyration_pair,SpherocityIndex_pair,ExactMolWt_pair,FpDensityMorgan1_pair,FpDensityMorgan2_pair,HeavyAtomMolWt_pair,MaxAbsPartialCharge_pair,MaxPartialCharge_pair,MinPartialCharge_pair,NumRadicalElectrons_pair,NumValenceElectrons_pair,volume_pair,name_anion,smiles_form_anion,energy_anion,HOMO_anion,LUMO_anion,dipole_x_anion,dipole_y_anion,dipole_z_anion,dipole_total_anion,name_cation,smiles_form_cation,energy_cation,HOMO_cation,LUMO_cation,dipole_x_cation,dipole_y_cation,dipole_z_cation,dipole_total_cation,V_al_cation,V_al_anion,V_al,V_cl_cation,V_cl_anion,V_cl,ECW_computed,cation_type,anion_type,label_x,conductivity_x,ECW,density,melting_point_x,viscosity,formula_x,T_conductivity_x,T_density,T_viscosity,conductivity_norm,viscosity_norm,density_norm,state,SVM_predict_x,RF_predict_x,XGB_predict_x,pair_sml_y,gnn_predict,SVM_predict_y,RF_predict_y,XGB_predict_y,SVM_predict,RF_predict,XGB_predict,predicted_state,predicted_conductivity,predicted_conductivity_category,label_y,T_conductivity_y,formula_y,conductivity_y,melting_point_y,avg_predict
tetrafluoroborate,F[B-](F)(F)F,0.0004916983395562,0.271872897333358,0.0093991864711089,0.9623331687599496,0.9825679255324472,104.53754998399567,106.73563684849056,108.62927037909488,1.3574502474146704,0.9625970676593132,87.00346685991,0.8,0.8,86.80400000000002,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,32,52.704000000000015,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium tetrafluoroborate,CN1C=C[N+](CCCCCCCCCC)=C1.F[B-](F)(F)F,0.6174155579077828,0.9886095138192345,0.0017853601414198,0.1505032530747985,0.9432572501998772,528.328838712475,3311.224159105377,3510.414744656058,3.4420345268836434,0.1690881933420175,310.2203421440007,1.0952380952380951,1.6666666666666667,282.9719999999999,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,124,267.53600000000006,tetrafluoroborate,F[B-](F)(F)F,-422.862214,-0.380507,0.219733,0.0,0.0,0.0,0.0,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,10.3497904,10.3497904,1.6653744,-5.9767376,1.6653744,8.684416,imidazolium,tetrafluoroborate,1-Decyl-3-methylimidazolium tetrafluoroborate,,,1.07,-4,721.0,C14H27BF4N2,25.0,20.0,18.0,,1001.3888888888888,1.3375,liquid,,,,,,0.7717298191296118,0.6169088497150996,0.41561845,0.0,0.0,0.0,,0.6014190396149038,0.0,1-decyl-3-methylimidazolium tetrafluoroborate,-10.049999999999955,C14H27BF4N2,0.023600000000000003,Liquid,0.6014190396149038
tetrafluoroborate,F[B-](F)(F)F,0.0004916983395562,0.271872897333358,0.0093991864711089,0.9623331687599496,0.9825679255324472,104.53754998399567,106.73563684849056,108.62927037909488,1.3574502474146704,0.9625970676593132,87.00346685991,0.8,0.8,86.80400000000002,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,32,52.704000000000015,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium tetrafluoroborate,CN1C=C[N+](CCCCCCCCCC)=C1.F[B-](F)(F)F,0.6174155579077828,0.9886095138192345,0.0017853601414198,0.1505032530747985,0.9432572501998772,528.328838712475,3311.224159105377,3510.414744656058,3.4420345268836434,0.1690881933420175,310.2203421440007,1.0952380952380951,1.6666666666666667,282.9719999999999,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,124,267.53600000000006,tetrafluoroborate,F[B-](F)(F)F,-422.862214,-0.380507,0.219733,0.0,0.0,0.0,0.0,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,10.3497904,10.3497904,1.6653744,-5.9767376,1.6653744,8.684416,imidazolium,tetrafluoroborate,1-Decyl-3-methylimidazolium tetrafluoroborate,,,1.07,-4,721.0,C14H27BF4N2,25.0,20.0,18.0,,1001.3888888888888,1.3375,liquid,,,,,,0.7717298191296118,0.6169088497150996,0.41561845,0.0,0.0,0.0,,0.6014190396149038,0.0,1-decyl-3-methylimidazolium tetrafluoroborate,-5.0499999999999545,C14H27BF4N2,0.0375,Liquid,0.6014190396149038
tetrafluoroborate,F[B-](F)(F)F,0.0004916983395562,0.271872897333358,0.0093991864711089,0.9623331687599496,0.9825679255324472,104.53754998399567,106.73563684849056,108.62927037909488,1.3574502474146704,0.9625970676593132,87.00346685991,0.8,0.8,86.80400000000002,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,32,52.704000000000015,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium tetrafluoroborate,CN1C=C[N+](CCCCCCCCCC)=C1.F[B-](F)(F)F,0.6174155579077828,0.9886095138192345,0.0017853601414198,0.1505032530747985,0.9432572501998772,528.328838712475,3311.224159105377,3510.414744656058,3.4420345268836434,0.1690881933420175,310.2203421440007,1.0952380952380951,1.6666666666666667,282.9719999999999,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,124,267.53600000000006,tetrafluoroborate,F[B-](F)(F)F,-422.862214,-0.380507,0.219733,0.0,0.0,0.0,0.0,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,10.3497904,10.3497904,1.6653744,-5.9767376,1.6653744,8.684416,imidazolium,tetrafluoroborate,1-Decyl-3-methylimidazolium tetrafluoroborate,,,1.07,-4,721.0,C14H27BF4N2,25.0,20.0,18.0,,1001.3888888888888,1.3375,liquid,,,,,,0.7717298191296118,0.6169088497150996,0.41561845,0.0,0.0,0.0,,0.6014190396149038,0.0,1-decyl-3-methylimidazolium tetrafluoroborate,-0.049999999999954525,C14H27BF4N2,0.057800000000000004,Liquid,0.6014190396149038
tetrafluoroborate,F[B-](F)(F)F,0.0004916983395562,0.271872897333358,0.0093991864711089,0.9623331687599496,0.9825679255324472,104.53754998399567,106.73563684849056,108.62927037909488,1.3574502474146704,0.9625970676593132,87.00346685991,0.8,0.8,86.80400000000002,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,32,52.704000000000015,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium tetrafluoroborate,CN1C=C[N+](CCCCCCCCCC)=C1.F[B-](F)(F)F,0.6174155579077828,0.9886095138192345,0.0017853601414198,0.1505032530747985,0.9432572501998772,528.328838712475,3311.224159105377,3510.414744656058,3.4420345268836434,0.1690881933420175,310.2203421440007,1.0952380952380951,1.6666666666666667,282.9719999999999,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,124,267.53600000000006,tetrafluoroborate,F[B-](F)(F)F,-422.862214,-0.380507,0.219733,0.0,0.0,0.0,0.0,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,10.3497904,10.3497904,1.6653744,-5.9767376,1.6653744,8.684416,imidazolium,tetrafluoroborate,1-Decyl-3-methylimidazolium tetrafluoroborate,,,1.07,-4,721.0,C14H27BF4N2,25.0,20.0,18.0,,1001.3888888888888,1.3375,liquid,,,,,,0.7717298191296118,0.6169088497150996,0.41561845,0.0,0.0,0.0,,0.6014190396149038,0.0,1-decyl-3-methylimidazolium tetrafluoroborate,4.9500000000000455,C14H27BF4N2,0.087,Liquid,0.6014190396149038
tetrafluoroborate,F[B-](F)(F)F,0.0004916983395562,0.271872897333358,0.0093991864711089,0.9623331687599496,0.9825679255324472,104.53754998399567,106.73563684849056,108.62927037909488,1.3574502474146704,0.9625970676593132,87.00346685991,0.8,0.8,86.80400000000002,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,32,52.704000000000015,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium tetrafluoroborate,CN1C=C[N+](CCCCCCCCCC)=C1.F[B-](F)(F)F,0.6174155579077828,0.9886095138192345,0.0017853601414198,0.1505032530747985,0.9432572501998772,528.328838712475,3311.224159105377,3510.414744656058,3.4420345268836434,0.1690881933420175,310.2203421440007,1.0952380952380951,1.6666666666666667,282.9719999999999,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,124,267.53600000000006,tetrafluoroborate,F[B-](F)(F)F,-422.862214,-0.380507,0.219733,0.0,0.0,0.0,0.0,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,10.3497904,10.3497904,1.6653744,-5.9767376,1.6653744,8.684416,imidazolium,tetrafluoroborate,1-Decyl-3-methylimidazolium tetrafluoroborate,,,1.07,-4,721.0,C14H27BF4N2,25.0,20.0,18.0,,1001.3888888888888,1.3375,liquid,,,,,,0.7717298191296118,0.6169088497150996,0.41561845,0.0,0.0,0.0,,0.6014190396149038,0.0,1-decyl-3-methylimidazolium tetrafluoroborate,9.950000000000045,C14H27BF4N2,0.128,Liquid,0.6014190396149038
tetrafluoroborate,F[B-](F)(F)F,0.0004916983395562,0.271872897333358,0.0093991864711089,0.9623331687599496,0.9825679255324472,104.53754998399567,106.73563684849056,108.62927037909488,1.3574502474146704,0.9625970676593132,87.00346685991,0.8,0.8,86.80400000000002,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,32,52.704000000000015,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium tetrafluoroborate,CN1C=C[N+](CCCCCCCCCC)=C1.F[B-](F)(F)F,0.6174155579077828,0.9886095138192345,0.0017853601414198,0.1505032530747985,0.9432572501998772,528.328838712475,3311.224159105377,3510.414744656058,3.4420345268836434,0.1690881933420175,310.2203421440007,1.0952380952380951,1.6666666666666667,282.9719999999999,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,124,267.53600000000006,tetrafluoroborate,F[B-](F)(F)F,-422.862214,-0.380507,0.219733,0.0,0.0,0.0,0.0,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,10.3497904,10.3497904,1.6653744,-5.9767376,1.6653744,8.684416,imidazolium,tetrafluoroborate,1-Decyl-3-methylimidazolium tetrafluoroborate,,,1.07,-4,721.0,C14H27BF4N2,25.0,20.0,18.0,,1001.3888888888888,1.3375,liquid,,,,,,0.7717298191296118,0.6169088497150996,0.41561845,0.0,0.0,0.0,,0.6014190396149038,0.0,1-decyl-3-methylimidazolium tetrafluoroborate,9.950000000000045,C14H27BF4N2,0.129,Liquid,0.6014190396149038
tetrafluoroborate,F[B-](F)(F)F,0.0004916983395562,0.271872897333358,0.0093991864711089,0.9623331687599496,0.9825679255324472,104.53754998399567,106.73563684849056,108.62927037909488,1.3574502474146704,0.9625970676593132,87.00346685991,0.8,0.8,86.80400000000002,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,32,52.704000000000015,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium tetrafluoroborate,CN1C=C[N+](CCCCCCCCCC)=C1.F[B-](F)(F)F,0.6174155579077828,0.9886095138192345,0.0017853601414198,0.1505032530747985,0.9432572501998772,528.328838712475,3311.224159105377,3510.414744656058,3.4420345268836434,0.1690881933420175,310.2203421440007,1.0952380952380951,1.6666666666666667,282.9719999999999,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,124,267.53600000000006,tetrafluoroborate,F[B-](F)(F)F,-422.862214,-0.380507,0.219733,0.0,0.0,0.0,0.0,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,10.3497904,10.3497904,1.6653744,-5.9767376,1.6653744,8.684416,imidazolium,tetrafluoroborate,1-Decyl-3-methylimidazolium tetrafluoroborate,,,1.07,-4,721.0,C14H27BF4N2,25.0,20.0,18.0,,1001.3888888888888,1.3375,liquid,,,,,,0.7717298191296118,0.6169088497150996,0.41561845,0.0,0.0,0.0,,0.6014190396149038,0.0,1-decyl-3-methylimidazolium tetrafluoroborate,14.950000000000045,C14H27BF4N2,0.184,Liquid,0.6014190396149038
tetrafluoroborate,F[B-](F)(F)F,0.0004916983395562,0.271872897333358,0.0093991864711089,0.9623331687599496,0.9825679255324472,104.53754998399567,106.73563684849056,108.62927037909488,1.3574502474146704,0.9625970676593132,87.00346685991,0.8,0.8,86.80400000000002,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,32,52.704000000000015,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium tetrafluoroborate,CN1C=C[N+](CCCCCCCCCC)=C1.F[B-](F)(F)F,0.6174155579077828,0.9886095138192345,0.0017853601414198,0.1505032530747985,0.9432572501998772,528.328838712475,3311.224159105377,3510.414744656058,3.4420345268836434,0.1690881933420175,310.2203421440007,1.0952380952380951,1.6666666666666667,282.9719999999999,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,124,267.53600000000006,tetrafluoroborate,F[B-](F)(F)F,-422.862214,-0.380507,0.219733,0.0,0.0,0.0,0.0,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,10.3497904,10.3497904,1.6653744,-5.9767376,1.6653744,8.684416,imidazolium,tetrafluoroborate,1-Decyl-3-methylimidazolium tetrafluoroborate,,,1.07,-4,721.0,C14H27BF4N2,25.0,20.0,18.0,,1001.3888888888888,1.3375,liquid,,,,,,0.7717298191296118,0.6169088497150996,0.41561845,0.0,0.0,0.0,,0.6014190396149038,0.0,1-decyl-3-methylimidazolium tetrafluoroborate,14.950000000000045,C14H27BF4N2,0.185,Liquid,0.6014190396149038
tetrafluoroborate,F[B-](F)(F)F,0.0004916983395562,0.271872897333358,0.0093991864711089,0.9623331687599496,0.9825679255324472,104.53754998399567,106.73563684849056,108.62927037909488,1.3574502474146704,0.9625970676593132,87.00346685991,0.8,0.8,86.80400000000002,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,32,52.704000000000015,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium tetrafluoroborate,CN1C=C[N+](CCCCCCCCCC)=C1.F[B-](F)(F)F,0.6174155579077828,0.9886095138192345,0.0017853601414198,0.1505032530747985,0.9432572501998772,528.328838712475,3311.224159105377,3510.414744656058,3.4420345268836434,0.1690881933420175,310.2203421440007,1.0952380952380951,1.6666666666666667,282.9719999999999,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,124,267.53600000000006,tetrafluoroborate,F[B-](F)(F)F,-422.862214,-0.380507,0.219733,0.0,0.0,0.0,0.0,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,10.3497904,10.3497904,1.6653744,-5.9767376,1.6653744,8.684416,imidazolium,tetrafluoroborate,1-Decyl-3-methylimidazolium tetrafluoroborate,,,1.07,-4,721.0,C14H27BF4N2,25.0,20.0,18.0,,1001.3888888888888,1.3375,liquid,,,,,,0.7717298191296118,0.6169088497150996,0.41561845,0.0,0.0,0.0,,0.6014190396149038,0.0,1-decyl-3-methylimidazolium tetrafluoroborate,19.950000000000045,C14H27BF4N2,0.257,Liquid,0.6014190396149038
tetrafluoroborate,F[B-](F)(F)F,0.0004916983395562,0.271872897333358,0.0093991864711089,0.9623331687599496,0.9825679255324472,104.53754998399567,106.73563684849056,108.62927037909488,1.3574502474146704,0.9625970676593132,87.00346685991,0.8,0.8,86.80400000000002,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,32,52.704000000000015,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,0.5638576909509398,0.9845054033443944,0.0013109790392925,0.175354243705965,0.882508238185646,673.1673136908826,3387.860410185763,3838.899472656352,4.205043714809542,0.1520372437397235,223.21687528409,1.1875,1.9375,196.16799999999995,0.2430288257380962,0.2430288257380962,-0.2395339959546719,0,92,250.29600000000005,1-decyl-3-methylimidazolium tetrafluoroborate,CN1C=C[N+](CCCCCCCCCC)=C1.F[B-](F)(F)F,0.6174155579077828,0.9886095138192345,0.0017853601414198,0.1505032530747985,0.9432572501998772,528.328838712475,3311.224159105377,3510.414744656058,3.4420345268836434,0.1690881933420175,310.2203421440007,1.0952380952380951,1.6666666666666667,282.9719999999999,0.6732131186250532,0.6732131186250532,-0.4183032796562632,0,124,267.53600000000006,tetrafluoroborate,F[B-](F)(F)F,-422.862214,-0.380507,0.219733,0.0,0.0,0.0,0.0,1-decyl-3-methylimidazolium,CN1C=C[N+](CCCCCCCCCC)=C1,-654.744987,-0.506862,-0.061227,-6.515509,-0.416154,-0.301954,6.535764,13.7866464,10.3497904,10.3497904,1.6653744,-5.9767376,1.6653744,8.684416,imidazolium,tetrafluoroborate,1-Decyl-3-methylimidazolium tetrafluoroborate,,,1.07,-4,721.0,C14H27BF4N2,25.0,20.0,18.0,,1001.3888888888888,1.3375,liquid,,,,,,0.7717298191296118,0.6169088497150996,0.41561845,0.0,0.0,0.0,,0.6014190396149038,0.0,1-decyl-3-methylimidazolium tetrafluoroborate,19.950000000000045,C14H27BF4N2,0.258,Liquid,0.6014190396149038
