pair,SVM_predict,RF_predict,XGB_predict
"1-allyl-3-methylimidazolium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
1-propyl-2-methylpyridinium bis(2-ethylhexyl)phosphate,0,0,0
1-methyl-3-propylimidazolium tetrafluoroborate,0,0,0
"trihexyltetradecylphosphonium 1,1,2,2-tetrafluoroethanesulfonate",0,0,0
1-methyl-3-octylimidazolium methyl sulfate,0,0,0
1-methyl-3-pentylimidazolium acetate,0,0,0
1-ethyl-3-propylimidazolium methyl sulfate,0,0,0
"1,2-dimethyl-3-propylimidazolium decanoate",0,0,0
1-decyl-3-methylimidazolium tosylate,0,0,0
1-(2-methoxyethyl)-3-methylimidazolium acetate,0,0,0
triethylsulfonium dicyanamide,1,1,1
1-butyl-1-methylpiperidinium bis(pentafluoroethylsulfonyl)imide,0,0,0
"1,3-diethylimidazolium triflate",0,0,0
octyltriethylammonium dimethyl phosphate,0,0,0
1-ethyl-3-propylimidazolium thiocyanate,1,1,0
1-decyl-3-methylimidazolium decanoate,0,0,0
1-heptyl-3-methylimidazolium trifluoroacetate,0,0,0
1-propyl-4-methylpyridinium diethyl phosphate,0,0,0
"1-ethyl-2,3-dimethylimidazolium formate",0,0,0
"1,3-diethylimidazolium methyl sulfate",0,0,0
diethylmethylammonium decanoate,0,0,0
1-propyl-4-methylpyridinium dimethyl phosphate,0,0,0
1-allyl-3-methylimidazolium bis(2-ethylhexyl)phosphate,0,0,0
1-methyl-3-nonylimidazolium thiocyanate,0,0,0
ethyltributylphosphonium tricyanomethanide,1,0,0
"1,3-diethylimidazolium tosylate",0,0,0
2-hydroxyethylammonium dimethyl phosphate,0,0,0
1-methyl-3-octylimidazolium thiocyanate,1,0,0
1-butylpyridinium bis(fluorosulfonyl)imide,0,0,0
choline dibutylphosphate,0,0,0
1-heptyl-3-methylimidazolium perfluorobutanesulfonate,0,0,0
1-propylpyridinium dicyanamide,1,1,1
1-ethyl-2-methylpyridinium ethyl sulfate,0,0,0
trihexyltetradecylphosphonium methanesulfonate,0,0,0
1-(2-methoxyethyl)-3-methylimidazolium bis(fluorosulfonyl)imide,0,0,0
1-butyl-3-ethylimidazolium formate,0,0,0
trihexyltetradecylphosphonium dibutylphosphate,0,0,0
butyltrimethylammonium formate,0,0,0
1-methyl-3-nonylimidazolium trifluoroacetate,0,0,0
