pair,SVM_predict,RF_predict,XGB_predict
tributylmethylphosphonium bis(trifluoromethylsulfonyl)imide,1.4553056043053256,0.4279435185185185,0.32050404
1-decyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide,0.44837930615549726,0.8084495370370369,0.60328615
1-allyl-3-methylimidazolium dimethyl phosphate,3.099945796139732,2.038053467908903,0.8836155
"1,3-diethylimidazolium bis(fluorosulfonyl)imide",9.096379665340027,4.256111139343748,6.94649
1-methyl-3-propylimidazolium acetate,1.4770600850867146,8.070046442687747,2.5293899
1-heptyl-3-methylimidazolium hexafluorophosphate,0.014448046748244847,1.0801413687459882,1.003175
1-ethyl-2-methylpyridinium methyl sulfate,0.5402264959788408,5.420179655248133,3.6902022
1-butyl-3-ethylimidazolium dicyanamide,7.66904290261731,2.9478774818176996,1.6076368
1-butyl-2-methylpyridinium ethyl sulfate,-0.07988633931288325,2.0545982720178375,1.6332613
1-decyl-3-methylimidazolium tosylate,-0.3561717876049302,1.0280921957671958,0.43327388
"1,2-dimethyl-3-propylimidazolium formate",3.2413471604201005,7.228296442687747,4.3185024
1-ethyl-3-methylpyridinium dicyanamide,10.335978842997227,10.364291666666665,8.2903805
"1,2-dimethyl-3-propylimidazolium diethyl phosphate",0.4820442154622735,2.0096260649978044,1.0216484
1-hexylpyridinium thiocyanate,3.247191658247699,2.4594127475181824,0.7095584
2-hydroxyethylammonium thiocyanate,10.783437212557416,15.003083333333333,16.12456
1-butyl-1-methylpyrrolidinium bis(2-ethylhexyl)phosphate,-4.11409945566096,1.1806297156346068,2.2167027
1-butyl-3-vinylimidazolium dicyanamide,7.193110932592148,3.7231795893719815,3.8147597
"1,3-dimethylimidazolium acetate",1.5774616627257454,11.754166666666666,3.2889526
1-methyl-1-octylpyrrolidinium ethyl sulfate,-1.9709169565174467,0.9783645833333331,0.55360943
1-butyl-2-methylpyridinium dimethyl phosphate,0.10461914259174132,1.7734673552293116,1.3484286
1-methyl-3-propylimidazolium diethyl phosphate,0.7412482409964447,2.412721339168079,0.80556774
"1,3-diethylimidazolium dicyanamide",11.395242880054138,10.671595410628019,14.185077
1-methyl-3-nonylimidazolium trifluoroacetate,-0.3171364852608294,0.7988243589743589,0.48573142
"1,2-dimethylimidazolium bis(fluorosulfonyl)imide",5.216819183566133,3.459057553798858,6.9599366
1-ethyl-3-methylimidazolium tricyanomethanide,9.315641069496628,9.664155331262938,9.187284
1-butyl-4-methylpyridinium bis(pentafluoroethylsulfonyl)imide,1.4757913056892584,2.8516166666666667,2.8574402
1-hexyl-1-methylpyrrolidinium dicyanamide,5.869273330691065,1.6521934459071286,1.2382463
1-dodecyl-3-methylimidazolium dodecylbenzenesulfonate,1.9804026609159937,2.080125,2.6092327
trihexyltetradecylphosphonium dodecylbenzenesulfonate,3.0922841451094576,1.9940671296296295,2.261696
tributylmethylphosphonium tosylate,-0.7886416681902466,0.555921657046657,0.07963894
"tributylmethylammonium bis(2,4,4-trimethylpentyl)phosphinate",-2.9973178088709007,1.0379070105820105,0.21550275
1-ethyl-4-methylpyridinium tricyanomethanide,6.520040106303625,5.044942632850242,7.1513734
1-hexyl-3-methylimidazolium hydrogensulfate,-2.1828132990018494,1.4397116907548972,0.69831353
2-methyl-1-propylpyridinium bis(pentafluoroethylsulfonyl)imide,2.112550670189729,2.48938125,2.3782916
ethylammonium dicyanamide,20.16217597565272,15.698555555555558,24.009872
1-(2-hydroxyethyl)-3-methylimidazolium acetate,1.0815878210919505,7.73312977602108,2.9778705
1-propyl-3-methylpyridinium decanoate,2.9560635378495785,4.26210625,4.229203
ethyltributylphosphonium bis(trifluoromethylsulfonyl)imide,0.970601468971722,0.4279435185185185,0.34672844
1-ethylimidazolium diethyl phosphate,2.9446575027585915,3.220309420289855,1.2021186
1-(2-hydroxyethyl)-3-methylimidazolium nitrate,6.450442405562589,11.365650966183575,12.604463
diethylmethylammonium bis(trifluoromethylsulfonyl)imide,2.7834627049436973,4.732499999999999,5.0332384
"1,3-diethylimidazolium formate",2.6271971611733687,7.651718599033816,3.9059143
"1-ethyl-2,3-dimethylimidazolium acetate",1.0280562527996913,7.137963109354414,2.715488
1-butylpyridinium bis(pentafluoroethylsulfonyl)imide,0.5783148361156023,1.7299370580808084,1.138567
"1-allyl-3-methylimidazolium bis(2,4,4-trimethylpentyl)phosphinate",-1.761180990371025,2.6755916666666666,2.0693023
1-ethyl-3-methylimidazolium bis(fluorosulfonyl)imide,10.35901705986055,5.608368506493507,8.969309
"trihexyltetradecylphosphonium 1,1,2,2-tetrafluoroethanesulfonate",1.2107325816174164,1.0100693001443002,1.27066
tributylmethylammonium trifluoroacetate,0.08649876322699401,0.6025636165577342,0.32851186
ethyltributylphosphonium dicyanamide,4.320129946430056,0.8597748316498315,0.31650573
1-ethyl-3-vinylimidazolium bis(2-ethylhexyl)phosphate,-3.623151573799211,2.5639333333333334,2.21914
1-methyl-1-octylpyrrolidinium bis(2-ethylhexyl)phosphate,-3.1554698771460856,0.5614222883597884,0.5425982
1-butyl-2-methylpyridinium methyl sulfate,-0.28890246148755416,1.8612749628390932,1.5076568
1-butyl-1-methylpiperidinium dicyanamide,7.5009005584988895,3.136220416379112,1.3612329
"1,3-dimethylimidazolium bis(2,4,4-trimethylpentyl)phosphinate",0.015597775426903437,4.093886111111112,2.3680327
"1,3-dimethylimidazolium formate",3.946535604844283,10.924516666666667,3.8480866
1-propylpyridinium thiocyanate,7.4249153103829135,11.40609541062802,17.471523
