RF,XGB
0.0118914742512839,0.0010720881
0.0004942268676190817,0.0026451563
0.0,0.0014795415
0.0,0.0
0.0002767705655976441,0.0
0.011245682064743436,0.0
0.010008379280643024,0.0010134277
0.0,0.0009801342
0.23412855405865537,0.4937692
0.009914857345938187,0.020911103
0.0011977309032235677,0.0040677334
0.008827081739518936,0.0006695673
0.0,0.09097982
0.002803502089993178,0.0002497415
0.0003729321186731967,0.010038369
0.008825707592015137,0.056204475
0.0054108457968809285,0.011611106
0.01610263671510008,0.0
0.0015138760014883014,0.0
0.11296169858303044,0.0
0.0011049684703645945,0.0023191373
0.04857388768650374,0.015947608
0.009258290199298944,0.0019239482
0.0,0.0
0.0013998425924433224,0.0014572061
0.007259212537254994,0.011787138
0.00892259853557569,0.008659135
0.006532049857359995,0.0
0.0006867767440670449,0.00305452
0.007869180408468363,0.00043617625
0.0018477033355271631,0.00035598825
0.03586394303747613,0.0
0.0004951547053548457,0.00048093603
0.0,0.0
0.0,0.00018686164
0.011243260470034011,0.0
0.009069403337814058,0.0
0.0012432216212465508,0.00058901485
0.0040213425721854655,0.0012596376
0.012658017071937696,0.004355284
0.0,0.0
0.0,0.0
0.0,0.0
0.002818542068197241,0.0
0.0,0.00015846832
0.00789562989157803,0.0035176715
0.0,3.8465456e-05
0.005068691877238916,0.012473998
0.05764847135768343,0.021819698
0.0,0.0
0.0005822237656690648,0.021573795
0.05383372388718929,0.015170417
0.0,0.0
0.0007464932631783773,0.0013304877
0.03618074079197787,0.0006156047
0.009998867892433854,0.009763546
0.012173786866870505,0.0003211868
0.00988720481660129,0.002920872
0.000497184403849763,0.03501728
0.011622647643597139,0.0013388429
0.032132769477878353,0.0020873044
0.0007832765008303807,9.8897995e-05
0.0007167639587147688,0.0007111178
0.026317919740440666,0.04868793
0.0024729269115961057,0.0012965278
0.008435154700069052,0.00086472795
0.004161070676140152,0.0036315764
0.0012697229388654327,0.00017802905
0.000638679243340226,0.0056986245
0.0,0.0
0.056169162568311136,0.05283055
0.05392353560043195,0.009350336
