pair_sml,state,conductivity_norm,conductivity
C[N+]1=CN(CC2=CC=CC=C2)C=C1.[O-]P(OCCCC)(OCCCC)=O,0.0,,
C[N+]1=CN(CC2=CC=CC=C2)C=C1.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,0.0,,
C[N+]1=CN(CC2=CC=CC=C2)C=C1.O=C(C(F)(F)F)[O-],0.0,,
C[N+]1=CN(CC2=CC=CC=C2)C=C1.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.0,,
C[N+]1=CN(CC2=CC=CC=C2)C=C1.[O-]P(OCC)(OCC)=O,0.0,,
C[N+]1=CN(CC2=CC=CC=C2)C=C1.[O-]P(OC)(OC)=O,0.0,,
C[N+]1=CN(CC2=CC=CC=C2)C=C1.N#C[C-](C#N)C#N,0.0,,
C[N+]1=CN(CC2=CC=CC=C2)C=C1.O=C(CCCCCCCCC)[O-],0.0,,
C[N+]1(CCCC)CCCCC1.O=C(C)[O-],0.0,,
C[N+]1(CCCC)CCCCC1.[O-]S(=O)(OCC)=O,0.0,,
C[N+]1(CCCC)CCCCC1.O=C([H])[O-],0.0,,
C[N+]1(CCCC)CCCCC1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,0.0,,
C[N+]1(CCCC)CCCCC1.[O-]P(OCCCC)(OCCCC)=O,0.0,,
C[N+]1(CCCC)CCCCC1.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,0.0,,
C[N+]1(CCCC)CCCCC1.O=C(C(F)(F)F)[O-],0.0,,
C[N+]1(CCCC)CCCCC1.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.0,,
C[N+]1(CCCC)CCCCC1.[O-]P(OCC)(OCC)=O,0.0,,
C[N+]1(CCCC)CCCCC1.[O-]P(OC)(OC)=O,0.0,,
C[N+]1(CCCC)CCCCC1.N#C[N-]C#N,0.0,,
C[N+]1(CCCC)CCCCC1.N#C[C-](C#N)C#N,0.0,,
C[N+]1(CCCC)CCCCC1.O=C(CCCCCCCCC)[O-],0.0,,
C[N+]1(CCCC)CCCC1.O=C(C)[O-],0.0,,
