label,conductivity,ECW,density,melting_point,viscosity,formula,T_conductivity,T_density,T_viscosity,cation,anion,conductivity_norm,viscosity_norm,density_norm,cation_type,anion_type
1-Butyl-2-methylpyridinium bis(trifluoromethylsulfonyl)imide,1.03,4.2,1.43,<RT,91.5,C12H16F6N2O4S2,25.0,21.0,25.0,1-Butyl-2-methylpyridinium,bis(trifluoromethylsulfonyl)imide,1.03,91.5,1.7023809523809526,pyridinium,imid
1-Butyl-2-methylpyridinium bromide,,,,152,,C10H16BrN,25.0,25.0,25.0,1-Butyl-2-methylpyridinium,bromide,,,,pyridinium,bromide
1-Butyl-2-methylpyridinium chloride,,,,147,,C10H16ClN,25.0,25.0,25.0,1-Butyl-2-methylpyridinium,chloride,,,,pyridinium,chloride
1-Butyl-2-methylpyridinium hexafluorophosphate,,,,52-53,,C10H16F6NP,25.0,25.0,25.0,1-Butyl-2-methylpyridinium,hexafluorophosphate,,,,pyridinium,phosph
1-Butyl-2-methylpyridinium tetrafluoroborate,1.83,,1.2,<RT,258.0,C10H16BF4N,23.0,25.0,20.0,1-Butyl-2-methylpyridinium,tetrafluoroborate,1.9891304347826089,322.5,1.2,pyridinium,tetrafluoroborate
1-Butyl-2-methylpyridinium triflate,1.47,,1.3,<RT,240.0,C11H16F3NO3S,30.0,26.0,25.0,1-Butyl-2-methylpyridinium,triflate,1.225,240.0,1.25,pyridinium,triflate
1-Butyl-3-ethylimidazolium  tetrafluoroborate,,,,<RT,,C9H17BF4N2,25.0,25.0,25.0,1-Butyl-3-ethylimidazolium,tetrafluoroborate,,,,imidazolium,tetrafluoroborate
1-Butyl-3-ethylimidazolium bis(trifluoromethylsulfonyl)imide,,,,<RT,,C11H17F6N3O4S2,25.0,25.0,25.0,1-Butyl-3-ethylimidazolium,bis(trifluoromethylsulfonyl)imide,,,,imidazolium,imid
1-Butyl-3-ethylimidazolium bromide,,,,<RT,,C9H17BrN2,25.0,25.0,25.0,1-Butyl-3-ethylimidazolium,bromide,,,,imidazolium,bromide
1-Butyl-3-ethylimidazolium hexafluorophosphate,,,,<RT,,C9H17F6N2P,25.0,25.0,25.0,1-Butyl-3-ethylimidazolium,hexafluorophosphate,,,,imidazolium,phosph
1-Butyl-3-methylimidazolium   dibutylphosphate,,,,<RT,1539.0,C16H33N2O4P,25.0,25.0,25.0,1-Butyl-3-methylimidazolium,dibutylphosphate,,1539.0,,imidazolium,phosph
1-Butyl-3-methylimidazolium  dimethyl phosphate,0.56,,1.16,<RT,534.0,C10H21N2O4P,30.0,20.0,25.0,1-Butyl-3-methylimidazolium,dimethyl phosphate,0.46666666666666673,534.0,1.45,imidazolium,phosph
1-Butyl-3-methylimidazolium acetate,1.44,,,<RT,208.0,C10H18N2O2,30.0,25.0,25.0,1-Butyl-3-methylimidazolium,acetate,1.2,208.0,,imidazolium,acetate
1-Butyl-3-methylimidazolium bis(fluorosulfonyl)imide,,,,<RT,,C8H15F2N3O4S2,25.0,25.0,25.0,1-Butyl-3-methylimidazolium,bis(fluorosulfonyl)imide,,,,imidazolium,imid
1-Butyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide,,,,<RT,,C12H15F10N3O4S2,25.0,25.0,25.0,1-Butyl-3-methylimidazolium,bis(pentafluoroethylsulfonyl)imide,,,,imidazolium,imid
1-Butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,3.41,4.62,1.44,-4,48.8,C10H15F6N3O4S2,25.0,25.0,25.0,1-Butyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,3.4099999999999997,48.8,1.44,imidazolium,imid
1-Butyl-3-methylimidazolium bromide,,,,81,,C8H15BrN2,25.0,25.0,25.0,1-Butyl-3-methylimidazolium,bromide,,,,imidazolium,bromide
1-Butyl-3-methylimidazolium chloride,,,,65,,C8H15ClN2,25.0,25.0,25.0,1-Butyl-3-methylimidazolium,chloride,,,,imidazolium,chloride
1-Butyl-3-methylimidazolium dicyanamide,9.54,,1.06,<RT,33.4,C10H15N5,25.0,25.0,25.0,1-Butyl-3-methylimidazolium,dicyanamide,9.54,33.4,1.06,imidazolium,dicyanamide
1-Butyl-3-methylimidazolium hydrogensulfate,,,1.28,<RT,3088.0,C8H16N2O4S,25.0,25.0,25.0,1-Butyl-3-methylimidazolium,hydrogensulfate,,3088.0,1.28,imidazolium,sulfate
1-Butyl-3-methylimidazolium methanesulfonate,,,,73,,C9H18N2O3S,25.0,25.0,25.0,1-Butyl-3-methylimidazolium,methanesulfonate,,,,imidazolium,sulfonate
1-Butyl-3-methylimidazolium methyl  sulfate,2.2,4.3,1.22,<RT,163.0,C9H18N2O4S,30.0,21.0,25.0,1-Butyl-3-methylimidazolium,methyl sulfate,1.8333333333333333,163.0,1.4523809523809523,imidazolium,sulfate
1-Butyl-3-methylimidazolium nitrate,,,1.16,35,,C8H15N3O3,25.0,25.0,25.0,1-Butyl-3-methylimidazolium,nitrate,,,1.16,imidazolium,nitrate
1-Butyl-3-methylimidazolium tetrafluoroborate,3.15,4.68,1.3,<RT,104.0,C8H15BF4N2,25.0,25.0,25.0,1-Butyl-3-methylimidazolium,tetrafluoroborate,3.15,104.0,1.3,imidazolium,tetrafluoroborate
1-Butyl-3-methylimidazolium thiocyanate,8.98,,1.07,<RT,35.9,C9H15N3S,30.0,30.0,25.0,1-Butyl-3-methylimidazolium,thiocyanate,7.483333333333333,35.9,0.8916666666666666,imidazolium,thiocyanate
1-Butyl-3-methylimidazolium tosylate,,,,40-45,,C15H22N2O3S,25.0,25.0,25.0,1-Butyl-3-methylimidazolium,tosylate,,,,imidazolium,tosylate
1-Butyl-3-methylimidazolium tricyanomethanide,8.83,,,<RT,25.7,C12H15N5,30.0,25.0,25.0,1-Butyl-3-methylimidazolium,tricyanomethanide,7.358333333333333,25.7,,imidazolium,tricyanomethanide
1-Butyl-3-methylimidazolium triflate,3.05,,1.3,16,80.0,C9H15F3N2O3S,25.0,25.0,25.0,1-Butyl-3-methylimidazolium,triflate,3.05,80.0,1.3,imidazolium,triflate
1-Butyl-3-methylimidazolium trifluoroacetate,,,,<RT,,C10H15F3N2O2,25.0,25.0,25.0,1-Butyl-3-methylimidazolium,trifluoroacetate,,,,imidazolium,acetate
1-Butyl-3-methylpyridinium bis(trifluoromethylsulfonyl)imide,2.51,,1.41,<RT,51.8,C12H16F6N2O4S2,25.0,22.0,25.0,1-Butyl-3-methylpyridinium,bis(trifluoromethylsulfonyl)imide,2.51,51.800000000000004,1.602272727272727,pyridinium,imid
1-Butyl-3-methylpyridinium bromide,,,,79,,C10H16BrN,25.0,25.0,25.0,1-Butyl-3-methylpyridinium,bromide,,,,pyridinium,bromide
1-Butyl-3-methylpyridinium chloride,,,,112,,C10H16ClN,25.0,25.0,25.0,1-Butyl-3-methylpyridinium,chloride,,,,pyridinium,chloride
